manufacturerID,organizationName,company,registered
783,,"Guangzhou Litewise Lighting Equipments Co., Ltd. dba 'EK Lights'",True
785,,"Guangzhou PUGUANG Electronic Technology Co., Ltd.",True
786,,"Guangzhou Xingkong Studio Lighting Co., Ltd.",True
812,,Carallon Ltd.,True
826,,Lux Lumen,True
843,,Rosstech Signals Inc.,True
888,,KASUGA,True
911,,Strich Labs,True
913,,Alcorn McBride Inc.,True
915,,i2Systems,True
916,,Prism Projection,True
923,,Lightforce Lasertechnik,True
929,,INAREX INC.,True
930,,licht.team,True
936,,ARTFOX,True
938,,"AIGA Electronic (GuangZhou) Co., Ltd.",True
981,,eX Systems,True
982,,i-Lumen,True
1018,,ART-DMX,True
1026,,Exato,True
1028,,Luminxa,True
1041,,SoundSwitch,True
1042,,D's DMX,True
1052,,IMLIGHT,True
1060,,FLUX ECLAIRAGE,True
1088,,"Guangzhou VAS Lighting Co., Ltd.",True
1102,,"Ben Peoples Industries, LLC",True
1103,,"B2 Co., Ltd.",True
1109,,Lamp & Pencil,True
1166,,Krisledz Pte. Ltd.,True
1167,,"Grand Canyon LED Lighting System (Suzhou) Co., Ltd.",True
1190,,MEB Veranstaltungstechnik GmbH,True
1193,,Edward J. Keefe Jr.,True
1204,,SKT Inc.,True
1205,,Major,True
1206,,IntiLED,True
1208,,"Guangzhou Hongcai Stage Equipment Co., Ltd.",True
1220,,"Ephesus Lighting, Inc.",True
1239,,Targetti Sankey Spa,True
1240,,"Guangzhou Hong Yuan Electronic Technology Co., LTD.",True
1245,,"Topstriving Photoelectricity Technology Co., Ltd.",True
1264,,SIGMA NET,True
1276,,Syncrolite LLC,True
1290,,ChamSys Ltd.,True
1308,,"Ambitsel, Inc.",True
1312,,ANLC Ltd,True
1321,,OSRAM,True
1335,,TERMINAL-COM,True
1344,,"EverBrighten Co., Ltd.",True
1365,,Maresch Electronics,True
1366,,RAYSYS,True
1375,,PRO-SOLUTIONS,True
1387,,COSMOLIGHT SRL,True
1388,,Lumascape Lighting Industries,True
1395,,"JIAXING XINHUALI LIGHTING & SOUNDING CO., LTD.",True
1408,,Innovation LED  Limited,True
1414,,"K 5600, Inc.",True
1416,,GuangZhou XiangMing Light Limited,True
1426,,MIRAGE B.V.,True
1440,,Stage Smarts AB,True
1444,,IMMOLAS,True
1451,,"Shenzhen Lesan Lighting Co., Ltd.",True
1461,,Turkowski GmbH,True
1468,,CantoUSA,True
1472,,Vertigo,True
1487,,"Brighten Technology Development Co., Ltd.",True
1491,,D-LED Illumination Technologies Ltd.,True
1504,,esp_dmx,True
1506,,KORRO PLUS,True
1512,,Snap One,True
1515,,GUANGZHOU BO WEI TE LIGHTING  CO.LTD,True
1519,,"Guangzhou Chai Yi Light Co., Ltd.",True
1522,,O'Light,True
1527,,Immersive Design Studios Inc.,True
1536,,TELMIC Neo,True
1538,,"Guangzhou Jinhong Stage Lighting Equipment.Co.,ltd",True
1542,,"Guangzhou YiGuang Stage Lighting Co., Ltd.",True
1545,,Diginet Control Systems Pty Ltd,True
1546,,Kindwin Opto Electronic (ShenZhen) Co. Ltd,True
1547,,"Lighting Science Group (formerly LED Effects, Inc.)",True
1549,,"HANIL TNC  CO.,LTD",True
1564,,LEDRAYS INC,True
1570,,Lupo SRL,True
1571,,"JAS LIGHTING & SOUND CO., LTD.",True
1572,,S4 Lights,True
1579,,"CKC Lighting Co., Ltd.",True
1594,,AVM Belgium BVBA,True
1596,,LaserNet,True
1604,,"COLEDER DISPLAY CO., LTD.",True
1605,,"MATSUMURA ELECTRIC MFG. CO. , LTD.",True
1616,,"RDC, Inc. d.b.a. LynTec",True
1619,,"USAI, LLC",True
1620,,HUNAN XIANG CAIXU FILM AND TELEVISION CULTURE CO.LTD,True
1624,,"AZCOLOR LITE CO., LIMITED",True
1630,,OFilms,True
1632,,"QSTECH CO.,LTD",True
1640,,Motion FX,True
1643,,AVANT-GARDE DE STUDIO FZ LLC,True
1647,,"GUANGZHOU CY LIGHTING EQUIPMENT CO.,LTD",True
1658,,"Inster Co, Ltd",True
1660,,LOTRONIC SA,True
1666,,"Beijing Ming Rui Lighting Technology Co., Ltd.",True
1668,,LEDART LLC,True
1669,,IBL/ESD-Datentechnik GmbH,True
1671,,INSMARINE LLC,True
1678,,GUANGZHOU TEANMA STAGE LIGHTING FACTORY,True
1686,,"SHENZHEN HOION LIGHTING CO.,LTD",True
1687,,"Shenzhen LED Innovator Technology Co., Ltd",True
1688,,Techni-Lux,True
1696,,Light.Audio.Design,True
1697,,ProTec GmbH,True
1699,,RODLIGHT ALBRECHT SILBERBERGER,True
1708,,GOLVER PROJECTS S.L.,True
1710,,CANARA LIGHTING INDUSTRIES PVT LTD,True
1711,,"ZHEJIANG JINGRI TECHNOLOGY CO.,LTD",True
1715,,"NANOLUMENS, INC.",True
1718,,"GUANGDONG VSHINE LIGHTING TECHNOLOGY CO.,LTD",True
1721,,GUANGZHOU DASEN LIGHTING CORPORATION LIMITED,True
1732,,RHENAC Systems GmbH,True
1735,,L&L Luce&Light,True
1742,,American-Pro International,True
1745,,"BIRUN ELECTRONIC INDUSTRIAL CO., LTD",True
1746,,LIGHTSTAR (BEIJING) ELECTRONIC CORPORATION,True
1747,,Boerner Distribution International GmbH,True
1760,,"SHENZHEN LONGRUN OPTOELECTRONIC CO., LTD",True
1761,,Burck IT GmbH & Co. KG,True
1764,,Dydell B.V.,True
1766,,Equipson S.A.,True
1772,,SISTEMA Jsc,True
1776,,CTG sp. z o.o.,True
1777,,Aqualux Lighting,True
1784,,"CHONGQING XINYUANHUI OPTOELECTRONIC TECHNOLOGY CO.,LTD",True
1794,,Drinelec,True
1799,,Conceptinetics Technologies and Consultancy Ltd.,True
1800,,AK-LIGHT,True
1804,,Pixout SIA,True
1805,,Lumenwerx ULC,True
1807,,Theatrelight New Zealand,True
1808,,D.T.S. Illuminazione srl,True
1810,,Laser Imagineering GmbH,True
1823,,Moss LED Inc,True
1828,,PHC Lighting & BMS Sp. z o.o.,True
1835,,NEWSUBSTANCE Ltd.,True
1836,,SGM A/S,True
1837,,Sting Alleman,True
1839,,RayComposer - R. Adams,True
1842,,Galaxia Electronics,True
1844,,CPOINT,True
1851,,Corsair Technology Ltd.,True
1856,,Arkalumen,True
1861,,"Guangzhou Wingo Stage Light Co., Ltd",True
1871,,Panasonic Corporation,True
1875,,F&V Europe B.V.,True
1880,,IMPOLUX GmbH,True
1887,,LEDEngin Inc.,True
1898,,BeamZ  (Tronios B.V.),True
1910,,lumenetix,True
1915,,GENLED Brands,True
1930,DMXTOOLBOX,FATEC sarl,True
1934,,"SHENZHEN BGLOPTO TECHNOLOGY Co., LTD.",True
1938,,MY-Semi Inc.,True
1943,,ARCPROLED Limited,True
1951,,"VPS Group, LLC",True
1955,,"Guangzhou GBR PROLIGHT GROUP CO.,LTD (GBR PROLIGHT)",True
1957,,X LED Systems,True
1965,,CLS LED BV,True
1966,,A-LITE B.V.,True
1968,,ADDiCTiON BoX GbR,True
1969,,TBF-PyroTec GmbH,True
1971,,"Shenzhen Fabulux Technology Co., Ltd",True
1973,,"ARM Automation, Inc",True
1979,,"Shenzhen SOSEN Electronics Co., Ltd.",True
1982,,Sanko Device Co.Ltd.,True
1984,,Code Mercenaries GmbH,True
1986,,BOOQlight BV,True
1989,,SBS Lighting LLC,True
1990,,BK Lighting,True
1992,,Sidus Link Ltd.,True
1996,,Griven S.r.l.,True
1999,,MH-Sound,True
2001,,Made By Mouse LTD,True
2005,,"PHIDA Stage Equipment Co., Ltd",True
2006,,"Lite Puter Enterprise Co., Ltd.",True
2010,,Flytech s.r.l.,True
2024,,ROCKETSIGN Technology HK Ltd,True
2025,,"TechLink Co., Ltd.",True
2026,,Le Maitre Ltd,True
2035,,Sam Light,True
2036,,LED Flex Ltd.,True
2037,,"Shenzhen ATENTI Technologies Co., Ltd",True
2038,,Electric Distribution Systems,True
2039,,"Dakco Technologies Co., Ltd.",True
2040,,Ultimate Technology Solutions GmbH,True
2041,,Bion Technologies GmbH,True
2045,,THELIGHT Luminary for Cine and TV S.L.,True
2046,,"Shenzhen Apexls Optoelectronic Co., Ltd.",True
2047,,Guangzhou HOMEI LIGHT Manufacturer,True
2048,,Hongyeah Light,True
2049,,"Guangzhou Favolite Stage Lighting Co., Ltd.",True
2050,,AstralPool,True
2055,,"Event Lighting Pty, Ltd.",True
2056,,Cooper Lighting - Zero 88,True
2057,,mumoco GmbH,True
2058,,"Shenzhen FantaLED Electronics Co., Ltd",True
2061,,HBJ Elektronik,True
2063,,NavoLabs,True
2064,,BDS Studios,True
2065,,V-PRO,True
2066,,Yamagiwa Corporation,True
2067,,"Shenzhen Scenico Optoelectronic Co., Ltd.",True
2068,,squareV,True
2076,,MR Electronics Ltd.,True
2083,,Opito Labs GmbH,True
2084,,"Almotechnos CO.,LTD.",True
2087,,PIXREAL,True
2098,,"Shenzhen EXC-LED Technology Co.,Ltd",True
2106,,Bright Ideas Custom Electronics Inc.,True
2110,,"Guangdong Hua Chen Film & Television Stage Project Co., Ltd.",True
2111,,"Shenzhen LeiFei Lighting Technologies Co.,Ltd.",True
2112,,Shenzhen Zwich Science and Technology Co.Ltd.,True
2117,,Cush Light LLC,True
2118,,LDR - Luci della Ribalta Srl,True
2123,,Neon Circus Ltd,True
2124,,"Guangzhou Ba Lin Electronic Technology Co., Ltd.",True
2125,,Guangzhou NECO Stage Lighting Factory,True
2128,,"Proland Group, LLC",True
2129,,Junction Inc. Ltd,True
2132,,"NEC Display Solutions, Ltd.",True
2132,,"Sharp NEC Display Solutions, Ltd.",True
2133,,"GODOX Photo Equipment Co., Ltd.",True
2136,,Juno Lighting Group,True
2138,,"Guangzhou Ming Jing Stage Light Equipment Co., Ltd.",True
2139,,Tolifo (Dongguan) Photographic Equipment Co. Ltd,True
2142,,MMS Distribution Ltd,True
2143,,"Media Visions, Inc.",True
2146,,illuminous,True
2147,,XTEC Industries Pte Ltd,True
2148,,"Hangzhou Youte Power., Co. Ltd",True
2149,,Contrade GmbH,True
2150,,PAL Lighting,True
2152,,"Ushio America, Inc.",True
2153,,Club Cannon LLC,True
2154,,"Shenzhen Chip Optech Co.,LTD",True
2156,,Bafa Elektronik ve Işık Tasarımları Sanayii Ticaret LTD Sti.,True
2158,,"Guangzhou Hi-LTTE Electronics Technology Co.,Ltd",True
2159,,MARTINI RUS LLC,True
2160,,"Hunan YESTECH Optoelectronic Co., Ltd",True
2163,,"Guangzhou BKLite Stage Lighting Equipment Co.,LTD",True
2164,,Snow Professional Lighting,True
2165,,ARC Solid-State Lighting Corp.,True
2166,,Power Gems LTD,True
2167,,Skaff New Zealand Ltd,True
2168,,OTTEC Technology GmbH,True
2170,,Dextra Group Plc,True
2173,,TPV Technology Group,True
2176,,GuangZhou LiDang Technology Inc.,True
2179,,CEE Lighting Equipment Co.Ltd,True
2180,,Bright Group,True
2181,,SIRS-E,True
2182,,KLIK Systems,True
2184,,"Banglux Lighting Technology Co., Ltd.",True
2185,,"Guangzhou Shenghui Electronic Technology Co., Ltd",True
2186,,Highendled Electronics Company Limited,True
2187,,"Shenzhen Doit Vision Co., Ltd",True
2188,,"Guangzhou Yi Sheng Yuan Electronic Co.,Ltd(Esun)",True
2189,,"Guangzhou Ling Yang  lighting Science and Technology Co.,Ltd",True
2190,,"Stage One International Co., Ltd.",True
2191,,First Design System Inc.,True
2192,,"Taurus Light Co.,Limited",True
2193,,Feiner Lichttechnik GMBH,True
2194,,"DongGuan Ruishen Technology Co.,Ltd",True
2195,,Brighten LED Lighting Limited,True
2196,,"Dongguan HCP Technology Co., Ltd.",True
2202,,ADL Electronics Ltd.,True
2205,,gobo.ws,True
2209,,"Shenzhen Gloshine Technology Co., Ltd",True
2210,,"Guangzhou Gesida Light Equipment Co., Ltd.",True
2211,,"Redot Visual Effect Technologies (Shenzhen) Co., Ltd",True
2212,,Adam Hall GmbH,True
2214,,impulswerk.de,True
2215,,"GuangZhou Deliya Opto-electronic Tech Co., Ltd",True
2218,,PiXL Factory,True
2219,,Qdot Lighting Limited,True
2220,,Bushveld Labs,True
2221,,Optical Productions LLC,True
2222,,Technical Audio Group Pty Ltd,True
2223,,AAdyn Technology,True
2224,,KIM Lighting,True
2226,,MCI Group,True
2227,,Stealth Light srl,True
2229,,"ShenZhen Sunny Xiao Technology Co., Ltd.",True
2230,,Graf Lichttechnik UG,True
2233,,"Guangzhou Hua Rong Electronic Technology Co., Ltd.",True
2234,,Meteor Lighting,True
2235,,"Guangzhou CHEN Electronic Technology Co., Ltd.",True
2236,,Michael Parkin,True
2237,,Lug Light Factory Sp. z o. o.,True
2238,,"Shenzhen FloatStone Technology Co., Ltd.",True
2239,,Times Square Stage Lighting Inc.,True
2241,,Project SSSHH Incorporated,True
2243,,Guangzhou Spark Stage Equipment Co. Ltd,True
2244,,Jacek Wagner,True
2245,,EHRGEIZ Lichttechnik GmbH,True
2246,,"Guangzhou Ever Famous Electronic Co.,Ltd",True
2249,,LEDitgo Videowall Germany GmbH,True
2250,,"Foshan City Xuandao Optoelectronics Equipment Co., Ltd",True
2252,,Guangzhou Santu Stage Lighting Equipment Co.Ltd,True
2257,,"Shenzhen Leqi Network Technology Co., Ltd.",True
2259,,SVI Public Company Limited,True
2260,,Sensa-Lite Ltd.,True
2261,,Sense Effects,True
2262,,"Guangzhou Precision Vision Intelligent Equipment Co, Ltd",True
2263,,"PatternAgents, LLC",True
2264,,W.A. Benjamin Electric Co.,True
2265,,STILED,True
2266,,"PLC Intelligent Technology (Shanghai) Co., Ltd.",True
2269,,Matthew Tong,True
2272,,Red Arrow Controls,True
2273,,"Shenzhen CLT Electronics Co.,LTD",True
2275,,"Guangzhou JinZhiHui Electronic Technology Co.,Ltd.",True
2276,,LMP Lichttechnik Vertriebsgesellschaft GmbH & Co KG,True
2278,,"Shenzhen VisionMax Technology Co., Ltd",True
2279,,"3A Guangzhou Electronics Co., Ltd",True
2282,,"Changchun Cedar Electronic Technology Co.,Ltd.",True
2284,,Marvin Nadrowski,True
2285,,ShowLED,True
2286,,Spacelights,True
2287,,Guangzhou RuiYang lighting technology co. LTD.,True
2288,,"Guang Dong LMJ Lighting Co., Ltd",True
2289,,"SanDevices, LLC",True
2291,,Outdoor Lasers Ltd.,True
2292,,"MC Electronic Technology(GZ) Co., Ltd.",True
2293,,Fufeng lighting,True
2294,,"Eulum Design, LLC",True
2295,,Neotek Lighting,True
2296,,Liberal Logic Inc.,True
2297,,ACS - Ackerman Computer Sciences,True
2298,,"Phaton Lighting Co., Ltd.",True
2299,,RPA Electronic Solutions Inc.,True
2300,,Lights By Brian,True
2302,,"Zhuhai Shengchang Electronics Co., Ltd.",True
2304,,nox multimedia GmbH,True
2305,CaveLighting,GermTec GmbH & Co. KG,True
2306,,"DongGuan Betterway Lighting Co.,Ltd",True
2307,,"Shenzhen INFiLED Electronics, Ltd.",True
2308,,"Bigbear Co., Ltd.",True
2309,,Locimation Pty Ltd,True
2310,,Crystal Technica Limited,True
2312,,"Guangzhou DeLong Stage Equipment Co., Ltd.",True
2313,,"Beijing Starlight Electronics Co., Ltd.",True
2315,,StarLighting,True
2316,,GRE Alpha,True
2318,,"Sichuan esRadio Technology Co., Ltd",True
2320,,"Shenzhen Tecnon EXCO-Vision Technology Co., Ltd.",True
2321,,"Guangzhou Aceda Professional  Lighting  Co., Ltd.",True
2322,,ags - Wissenschaftliche Arbeitsgemeinschaft fur Studio- und Senderfragen,True
2323,,Guangzhou ECK Light Equipment Company Limited,True
2324,,Xenio,True
2325,,"Guangzhou Chuangfeng Photoelectric Equipment Co., Ltd.",True
2326,,"ACTOR-MATE CO., LTD.",True
2327,,Gavtronics,True
2328,,David O Smith Design,True
2329,,"Foshan Leiyuan Photoelectric Co., LTD",True
2330,,Celex LED Technology Ltd.,True
2331,,Krislite Pte. Ltd.,True
2333,,TouchPlate Technologies Inc.,True
